Lap,TyreAge,Action,Q_StayOut,Q_Pit
1,1,STAY,-9715.958711749914,-9780.456317287917
2,2,STAY,-9723.175466414046,-9781.508702313211
3,3,STAY,-9730.42750846489,-9781.972131077746
4,4,STAY,-9737.696099347519,-9785.506279234034
5,5,STAY,-9744.963851878314,-9778.71925711288
6,6,STAY,-9752.214201519622,-9780.429616992184
7,7,STAY,-9759.431146338866,-9782.10625728728
8,8,STAY,-9766.59909325001,-9789.444028547336
9,9,STAY,-9773.70275702306,-9796.244114636555
10,10,PIT,-9803.775232137417,-9780.727089186723
11,1,STAY,-9762.404700171712,-9811.59542911003
12,2,STAY,-9770.090606234044,-9794.222883085356
13,3,STAY,-9777.8165385861,-9802.811412381856
14,4,STAY,-9785.56380654066,-9813.110094472602
15,5,STAY,-9793.315071265326,-9840.51416094239
16,6,PIT,-9812.601839110266,-9801.05381706206
17,1,STAY,-9783.511566078701,-9848.503848085511
18,2,STAY,-9791.41067280676,-9815.709638091657
19,3,STAY,-9799.35195936662,-9847.427003990893
20,4,STAY,-9807.316756824013,-9852.239032565998
21,5,STAY,-9815.287748319217,-9856.207761856027
22,6,STAY,-9823.24844034882,-9864.160350429795
23,7,PIT,-9851.985087584897,-9831.182902731995
24,1,STAY,-9813.823089606703,-9857.398531172219
25,2,STAY,-9822.028373340097,-9868.214362659797
26,3,STAY,-9830.278929602315,-9872.850493315558
27,4,STAY,-9838.556120698453,-9880.955246248099
28,5,STAY,-9846.842661323702,-9889.42800614252
29,6,STAY,-9855.1220898483,-9877.740366026088
30,7,STAY,-9863.378508287024,-9885.559700488819
31,8,STAY,-9871.596428551176,-9892.15804537132
32,9,STAY,-9879.760671468684,-9900.024015716504
33,10,PIT,-9908.853719931478,-9887.856295697453
34,1,STAY,-9870.616019879519,-9915.948651263845
35,2,STAY,-9879.394969575264,-9903.575005045925
36,3,STAY,-9888.224986405512,-9912.141157400816
37,4,STAY,-9897.087491206734,-9919.5486471631
38,5,STAY,-9905.965257796714,-9928.087741728143
39,6,STAY,-9914.841884265483,-9936.811175677622
40,7,STAY,-9923.701532950847,-9945.790200245081
41,8,STAY,-9932.528776696454,-9932.73897850413
42,9,PIT,-9949.667852494742,-9941.308497878053
43,1,STAY,-9924.773292070553,-9949.74209081629
44,2,STAY,-9934.099284919743,-9958.262239733514
45,3,STAY,-9943.481870591855,-9967.277217464742
46,4,STAY,-9952.902525738391,-9976.569975730345
47,5,STAY,-9962.344080555962,-9986.072792431114
48,6,STAY,-9971.790190082906,-9995.806945721211
49,7,STAY,-9981.225074180566,-10005.58780330279
50,8,STAY,-9990.63336379718,-10015.281169131316
